"ihdlkid","new_key","lake_area_ac","lake_perim_km","lake_order","lake_link_num","uplakes_n","uplakes_area_ac","downlakes_n","downlakes_area_ac","ws_area_km2","lake_area_km2","lake_area_m2","maxdepth_ft","meandepth_ft","maxdepth_m","meandepth_m","geom_ratio","ws_urban_prop","ws_forest_prop","ws_agriculture_prop","ws_shrub_prop","ws_wetland_prop","ws_slope_deg","ws_mean_elevation_m","lake_area_ha","dd_mean","surface_temp_mean"
973,NA,13.58358141,1.02,0,-99,-99,-99,-99,-99,0.2375,0.05,54969.7762534904,NA,NA,NA,NA,NA,0.02905,0.82442,0,0.03326,0.05053,7.43,417.23,5.497,3700.24161016667,16.1267999477778
998,NA,9.120882364,0.82,0,-99,-99,-99,-99,-99,0.1745,0.04,36910.211500951,NA,NA,NA,NA,NA,0,0.89914,0,0,0.06304,6.42,397.245,3.691,3525.68615838889,16.1802653866667
1028,NA,14.39575761,1,0,-99,-99,-99,-99,-99,1.722,0.06,58256.4752944033,NA,NA,NA,NA,NA,0.02514,0.86969,0.01394,0.02892,0.05662,3.97,402.613984,5.826,3503.62047438889,16.0834528977778
1142,NA,5.341017087,0.85,0,-99,-99,-99,-99,-99,0.1486,0.02,21613.9253247542,NA,NA,NA,NA,NA,0,0.91184,0,0,0.04105,5.24,439.338984,2.161,3526.58314838889,16.2173454961111
1475,NA,27.23018884,1.33,0,-99,-99,-99,-99,-99,1.1512,0.11,110194.604993727,NA,NA,NA,NA,NA,0.04222,0.66097,0.13473,0,0.13551,0.38,285.334004,11.02,3656.02439066667,16.0318421444444
1887,NA,5.942503968,1.36,0,-99,-99,-99,-99,-99,0.4977,0.02,24048.0108777468,NA,NA,NA,NA,NA,0,0.87523,0,0.02672,0.09805,3.19,220.525,2.405,3719.74515683333,16.2915701522222
2086,NA,11.2440945,1.35,0,-99,-99,-99,-99,-99,0.8522,0.05,45502.3855772733,NA,NA,NA,NA,NA,0.00634,0.91398,0,0.01291,0.03884,3.04,378.211992,4.55,3502.31817155556,15.9270943394444
2187,NA,8.26742407,0.96,0,-99,-99,-99,-99,-99,1.3875,0.03,33456.4528752378,NA,NA,NA,NA,NA,0.00728,0.8212,0,0.01311,0.09434,1.11,253.011992,3.346,3596.306833,16.1173063938889
2481,NA,10.85589277,1.21,0,-99,-99,-99,-99,-99,0.1074,0.04,43931.418275262,NA,NA,NA,NA,NA,0.01862,0.30447,0,0,0,0.91,245.005,4.393,3734.36195166667,16.0610193472222
2913,NA,81.6784987,2.79,0,-99,-99,-99,-99,-99,1.6863,0.33,330534.979159079,NA,NA,NA,NA,NA,0.05995,0.74139,0,0.02034,0.13858,2.35,364.836016,33.054,3500.53312422222,15.5722152022222
3007,NA,9.597086007,2.01,0,-99,-99,-99,-99,-99,0.6001,0.04,38837.3032536118,NA,NA,NA,NA,NA,0,0.50126,0,0,0.47225,2.83,358.706016,3.884,3520.29235133333,15.9986766038889
3151,NA,5.687938962,1.05,0,-99,-99,-99,-99,-99,0.3103,0.02,23017.8421027073,NA,NA,NA,NA,NA,0,0.40703,0,0,0.59298,0.95,319.735996,2.302,3586.13703577778,16.08991727
3207,NA,7.091318903,0.91,0,-99,-99,-99,-99,-99,0.2192,0.03,28697.0130832423,NA,NA,NA,NA,NA,0,0.76642,0,0,0.18568,2.18,368.333984,2.87,3523.71077355556,16.2384425016667
3216,NA,6.910314684,1.37,1,0,0,0,3,9737.204671,0.2282,0.03,27964.528687629,NA,NA,NA,NA,NA,0.00833,0.53857,0.30018,0.00175,0.15118,1.2,259.253008,2.797,3689.25793272222,16.4920016872222
3934,NA,7.120777899,0.82,0,-99,-99,-99,-99,-99,0.3621,0.03,28816.2271822265,NA,NA,NA,NA,NA,0.02182,0.61281,0,0,0.32891,1.68,380.995,2.882,3516.9619985,16.2344449611111
3958,NA,7.337766826,0.72,0,-99,-99,-99,-99,-99,0.493,0.03,29694.3338027599,NA,NA,NA,NA,NA,0.02698,0.77627,0,0,0.15862,4.15,561.361016,2.97,3280.96037961111,15.9830642072222
4032,NA,51.8783071,2.17,0,-99,-99,-99,-99,-99,1.6848,0.21,209940.136376512,NA,NA,NA,NA,NA,0.01888,0.5168,0,0,0.336,4.13,561.301016,20.994,3182.63582538889,15.1736051622222
5000,NA,5.783175688,0.69,1,0,0,0,4,10504.05056,0.13,0.02,23403.2442555947,NA,NA,NA,NA,NA,0,0.90153,0,0.02,0.07846,2.01,557.518008,2.34,3416.42491805556,16.0967212894444
5105,NA,5.523797101,0.68,0,-99,-99,-99,-99,-99,0.334,0.02,22353.5959734531,NA,NA,NA,NA,NA,0.04431,0.55419,0,0.3503,0.0491,1.59,390.326016,2.235,3520.73515583333,16.3524264094444
5180,NA,7.855346099,1.26,2,2,1,6,4,10504.05056,1.0225,0.03,31788.8636599085,NA,NA,NA,NA,NA,0.00313,0.87814,0,0.04156,0.07188,3.9,546.083984,3.179,3344.04387966667,15.6836749366667
5215,NA,5.690418589,0.75,1,1,1,23,16,15750.77367,0.1211,0.02,23027.8766096071,NA,NA,NA,NA,NA,0.11808,0.83402,0,0,0.04789,6.49,556.003984,2.303,3188.61141966667,15.9022973538889
5447,NA,8.365302263,1.02,0,-99,-99,-99,-99,-99,1.194,0.03,33852.5444660273,NA,NA,NA,NA,NA,0.017,0.70201,0,0.00628,0.25243,4.89,547.985,3.385,3161.1316495,15.4630495916667
5562,NA,25.39358052,1.71,0,-99,-99,-99,-99,-99,1.3166,0.1,102762.253733155,NA,NA,NA,NA,NA,0,0.71047,0,0.0076,0.2593,4.04,541.768984,10.276,3138.08143644444,15.0693219838889
5799,NA,57.92600596,6.11,5,199,22,4079,0,0,1.5743,0.23,234413.847921978,NA,NA,NA,NA,NA,0,0.899,0,0,0.04637,3.92,322.433008,22.923,3584.29212238889,15.7275518916667
6573,NA,17.94268915,2.77,2,6,2,20,16,16175.93401,1.0662,0.07,72610.1296993242,NA,NA,NA,NA,NA,0.02579,0.556,0,0.02101,0.39721,2.7,507.908984,7.261,3153.70306416667,15.3720829527778
6661,NA,5.808646965,0.59,0,-99,-99,-99,-99,-99,0.0065,0.02,23506.3209299502,NA,NA,NA,NA,NA,0,0.43077,0,0,0.56923,4.45,344.606016,2.351,3495.58839055556,16.3952315555556
6959,NA,12.9434413,0.95,0,-99,-99,-99,-99,-99,0.0189,0.05,52379.2695560682,NA,NA,NA,NA,NA,0,0.61376,0,0,0.22752,1.58,416.716016,5.238,3422.49448477778,15.9289643905556
6962,NA,35.72877008,1.53,0,-99,-99,-99,-99,-99,0.4243,0.14,144586.500263041,NA,NA,NA,NA,NA,0.03818,0.71459,0.12562,0.03135,0.08767,0.62,419.188984,14.459,3401.99738783333,15.5884319227778
7036,NA,16.75007259,1.81,0,-99,-99,-99,-99,-99,4.8134,0.07,67783.8719193881,NA,NA,NA,NA,NA,0,0.99688,0,0,0.00234,1.27,308.365996,6.779,3472.06827916667,15.9274590738889
7095,NA,43.70778034,1.95,0,-99,-99,-99,-99,-99,0.7459,0.18,176875.805673587,NA,NA,NA,NA,NA,0,0.92854,0,0,0.03821,3.02,302.188008,17.688,3455.80605783333,15.6573593033333
7200,NA,12.79890652,0.9,0,-99,-99,-99,-99,-99,0.1463,0.05,51794.3689854721,NA,NA,NA,NA,NA,0,0.96582,0,0,0.03213,2.99,298.746992,5.18,3483.75021016667,16.0670396305556
7245,NA,11.06459456,0.96,0,-99,-99,-99,-99,-99,0.3448,0.04,44775.9886690138,NA,NA,NA,NA,NA,0.01305,0.84135,0,0,0.09426,4.45,293.524004,4.478,3477.93935816667,16.0231296127778
7250,NA,21.77007577,1.55,0,-99,-99,-99,-99,-99,0.2558,0.09,88098.7243332929,NA,NA,NA,NA,NA,0,0.83894,0,0,0.13253,3.7,295.963008,8.81,3457.36119033333,15.683263065
7449,NA,10.47037909,0.81,0,-99,-99,-99,-99,-99,1.8689,0.04,42371.3289223423,NA,NA,NA,NA,NA,0.00385,0.82027,0,0,0.17412,2.88,290.643008,4.237,3764.85467177778,16.6107005333333
7472,NA,48.11307142,3.24,0,-99,-99,-99,-99,-99,1.612,0.19,194703.05297236,NA,NA,NA,NA,NA,0.00143,0.66347,0,0.01172,0.30347,4.78,292.769004,19.471,4114.87873833333,16.1538474855556
7495,NA,15.58424054,1.12,0,-99,-99,-99,-99,-99,0.1111,0.06,63066.0051798794,NA,NA,NA,NA,NA,0.12781,0.64176,0,0,0.09541,8.7,471.673984,6.307,3459.57165988889,15.8195943911111
7526,NA,97.75248742,6.12,0,-99,-99,-99,-99,-99,3.7526,0.4,395582.887863704,NA,NA,NA,NA,NA,0.00261,0.86851,0,0.0076,0.08863,4.85,298.745,39.559,3608.11687583333,15.2655394255556
7642,NA,21.27733244,2.03,0,-99,-99,-99,-99,-99,0.1613,0.09,86104.700093076,NA,NA,NA,NA,NA,0,0.87167,0,0.00186,0.06076,5.68,293.708008,8.611,3426.88480538889,15.7193586594444
7757,NA,5.34188876,0.63,0,-99,-99,-99,-99,-99,0.035,0.02,21617.4527943021,NA,NA,NA,NA,NA,0,0.05429,0,0.25714,0.30857,4.14,286.35,2.162,3462.9588985,16.2945636661111
7844,NA,35.8185266,2.55,0,-99,-99,-99,-99,-99,0.4783,0.15,144949.725223585,NA,NA,NA,NA,NA,0,0.78527,0,0,0.18085,7.08,293.34,14.495,3702.72491933333,16.0057354177778
7860,NA,16.56073138,1.4,0,-99,-99,-99,-99,-99,0.8584,0.07,67017.6495487839,NA,NA,NA,NA,NA,0,0.78146,0,0.00734,0.17789,3.19,296.773008,6.702,3423.20833327778,15.6578681338889
7864,NA,20.15291877,1.38,0,-99,-99,-99,-99,-99,1.4768,0.08,81554.4444579337,NA,NA,NA,NA,NA,0.00603,0.72962,0,0,0.24959,3.47,296.874004,8.156,3430.03759461111,15.7719880566667
7956,NA,19.12262776,1.21,0,-99,-99,-99,-99,-99,2.6275,0.08,77385.0825947959,NA,NA,NA,NA,NA,0.00206,0.83475,0,0.0698,0.08114,2.67,289.446992,7.739,3472.30464277778,15.8563587711111
7970,NA,11.00892649,0.95,0,-99,-99,-99,-99,-99,2.3378,0.04,44550.7121929505,NA,NA,NA,NA,NA,0.005,0.92744,0,0.00077,0.06382,4.84,304.065,4.455,3449.87693972222,16.0948419061111
8489,NA,21.92001252,1.28,0,-99,-99,-99,-99,-99,2.1952,0.09,88705.4854922909,NA,NA,NA,NA,NA,0,0.98683,0,0,0.00364,5.15,317.118008,8.871,3824.60524261111,15.840099175
8644,NA,75.35569487,4.42,0,-99,-99,-99,-99,-99,1.6541,0.31,304947.978106916,NA,NA,NA,NA,NA,0.09764,0.75225,0,0.00326,0.07853,9.27,469.593008,30.495,3829.21131294444,15.1971858211111
8659,NA,5.233028706,1.42,2,2,0,0,12,11961.4015,0.178,0.02,21176.9200194245,NA,NA,NA,NA,NA,0,0.19102,0,0,0.80899,0.84,519.601016,2.15,3197.03117394444,15.46630653
8688,NA,17.62741565,1.1,0,-99,-99,-99,-99,-99,0.5399,0.07,71334.2869572255,NA,NA,NA,NA,NA,0.24727,0.51898,0,0.01667,0.10483,11.18,455.891016,7.134,3423.51182805556,15.8816637377778
8722,NA,7.067740896,1.26,0,-99,-99,-99,-99,-99,0.0999,0.03,28601.5980575452,NA,NA,NA,NA,NA,0.01401,0.45346,0,0,0.26126,16.51,451.871016,2.86,3426.34917927778,15.7456083766667
8785,NA,12.23868138,1.04,0,-99,-99,-99,-99,-99,0.4591,0.05,49527.2606531504,NA,NA,NA,NA,NA,0.04531,0.78458,0,0.03528,0.09562,10.52,463.365,4.953,3441.3251475,15.9919291188889
8790,NA,6.215689072,0.72,0,-99,-99,-99,-99,-99,1.0708,0.03,25153.5311076039,NA,NA,NA,NA,NA,0.02157,0.87532,0,0,0.1031,1.97,518.318984,2.515,3388.75850588889,16.1842064138889
9231,NA,16.76457799,3.21,2,5,3,53,1,12.314015,2.6789,0.07,67842.5720933997,NA,NA,NA,NA,NA,0.02874,0.69659,0,0.17202,0.09885,2.89,466.423008,7.073,3233.34078022222,15.2920533405556
9497,NA,6.101978228,0.7,2,2,1,7,9,10901.31254,0.0501,0.02,24693.368248958,NA,NA,NA,NA,NA,0.12774,0.26946,0,0,0.60279,2.3,503.698008,2.469,3208.76120488889,15.7777199922222
10024,NA,165.5746522,5.75,0,-99,-99,-99,-99,-99,1.4402,0.67,670044.321152523,NA,NA,NA,NA,NA,0.03208,0.697,0,0.00062,0.21115,2.66,479.043984,67.006,3443.29053294444,15.4577667572222
10174,NA,5.321992588,0.56,0,-99,-99,-99,-99,-99,0.04,0.02,21536.9373477399,NA,NA,NA,NA,NA,0,0.6225,0,0,0.2175,7.61,481.756992,2.154,3276.79547966667,16.07014551
10445,NA,5.116876637,0.63,0,-99,-99,-99,-99,-99,0.016,0.02,20706.8780583546,NA,NA,NA,NA,NA,0.01875,0.04375,0,0,0.0875,1.59,471.973984,2.071,3297.59202161111,16.0526186788889
10553,NA,12.18928226,1.15,0,-99,-99,-99,-99,-99,0.8508,0.05,49327.3532434948,NA,NA,NA,NA,NA,0.00447,0.72555,0,0,0.26223,3.1,483.261016,4.933,3240.62081566667,15.4922373322222
10711,NA,5.843952212,0.73,0,-99,-99,-99,-99,-99,0.1845,0.02,23649.1935251507,NA,NA,NA,NA,NA,0,0.15664,0,0,0.83577,0.49,480.211992,2.365,3290.8787615,15.9281152783333
10862,NA,18.46347826,1.11,0,-99,-99,-99,-99,-99,1.3051,0.07,74717.6490631702,NA,NA,NA,NA,NA,0.02797,0.53468,0,0.00115,0.43291,0.98,481.361016,7.472,3309.32134211111,15.7896957944444
10866,NA,64.39669125,2.14,0,-99,-99,-99,-99,-99,0.3664,0.26,260599.292825058,NA,NA,NA,NA,NA,0.06414,0.66375,0,0,0.26801,2.25,482.571016,26.061,3554.98222544444,15.5287503955556
10893,NA,9.287563411,1.13,1,0,0,0,1,843.361028,0.342,0.04,37584.7331593218,NA,NA,NA,NA,NA,0.06228,0.7728,0,0,0.14971,4.54,205.483008,3.876,3712.47622011111,16.1864808255556
11472,NA,7.031657754,1.11,0,-99,-99,-99,-99,-99,0.2007,0.03,28455.5774918053,NA,NA,NA,NA,NA,0,0.2835,0,0,0.70055,2.65,509.261016,2.846,3409.16546494444,16.1172469172222
12514,NA,14.60619128,1.03,0,-99,-99,-99,-99,-99,0.152,0.06,59108.0542268625,NA,NA,NA,NA,NA,0,0.68289,0,0,0.26118,4.09,521.88,5.911,3758.43104127778,16.0008500572222
12795,NA,5.649442957,0.79,0,-99,-99,-99,-99,-99,0.4045,0.02,22862.05720934,NA,NA,NA,NA,NA,0.02917,0.6497,0,0.01829,0.26032,3.02,456.493008,2.286,3365.77329755556,15.8972185655556
12806,NA,5.364329182,0.61,1,1,0,0,11,6256.354106,0.0317,0.02,21708.2642628789,NA,NA,NA,NA,NA,0.1388,0.29022,0,0.28391,0.28707,1.87,466.051992,2.171,3298.06840366667,15.9898991583333
12941,NA,7.298284392,0.97,0,-99,-99,-99,-99,-99,0.064,0.03,29534.5570474687,NA,NA,NA,NA,NA,0,0.76875,0,0,0.12031,6.84,522.336016,2.954,3377.22530594444,15.9383887716667
13101,NA,53.76484503,2.77,0,-99,-99,-99,-99,-99,0.8192,0.22,217574.541823479,NA,NA,NA,NA,NA,0.06958,0.35388,0,0.02686,0.49561,1.73,452.675,21.758,3321.35858361111,15.1609220288889
13329,NA,5.946415548,0.73,0,-99,-99,-99,-99,-99,0.0207,0.02,24063.8401845332,NA,NA,NA,NA,NA,0,0.28985,0,0,0.52657,0.11,445.821992,2.406,3371.25046244444,15.9846986922222
13581,NA,8.704895157,0.75,0,-99,-99,-99,-99,-99,0.0973,0.04,35226.8024644895,NA,NA,NA,NA,NA,0.00308,0.52724,0,0.01028,0.36896,1.77,454.941992,3.523,3305.16571622222,15.9018158494444
14354,NA,17.78091134,1.12,0,-99,-99,-99,-99,-99,0.2345,0.07,71955.4503662337,NA,NA,NA,NA,NA,0,0.00256,0,0,0.99701,0.03,464.7,7.196,3256.16227566667,15.4969092911111
14525,NA,9.916368266,1.43,0,-99,-99,-99,-99,-99,0.1209,0.04,40129.3685646069,NA,NA,NA,NA,NA,0,0.7378,0,0.00083,0.201,5.01,473.193008,4.013,3273.65783755556,15.7873625688889
14609,NA,5.677675844,0.85,3,5,3,218,10,10994.87049,0.6007,0.02,22976.3095139816,NA,NA,NA,NA,NA,0.04328,0.44015,0,0.0338,0.48277,2.61,442.035,2.298,3342.16936294444,15.7719649894444
14975,NA,8.75459833,1.27,0,-99,-99,-99,-99,-99,0.8797,0.04,35427.9403099834,NA,NA,NA,NA,NA,0.05422,0.5469,0,0.00512,0.37991,1.53,466.466016,3.543,3259.45690322222,15.5525816838889
15122,NA,14.23204575,1.11,0,-99,-99,-99,-99,-99,2.1664,0.06,57593.9692849338,NA,NA,NA,NA,NA,0.03042,0.90426,0.00494,0.00794,0.04893,3.42,356.621992,5.76,3556.05743744444,16.0064404894444
15259,NA,5.94809421,0.8,0,-99,-99,-99,-99,-99,0.8929,0.02,24070.6333616608,NA,NA,NA,NA,NA,0,0.81924,0,0.00594,0.17292,2.95,355.803008,2.407,3587.86153177778,16.2801300638889
15379,NA,6.135075436,0.68,0,-99,-99,-99,-99,-99,0.1971,0.02,24827.3053943588,NA,NA,NA,NA,NA,0,0.90817,0,0.03653,0.04668,6.42,528.24,2.483,3347.64847544444,15.9899472655556
15583,NA,8.18337912,0.71,0,-99,-99,-99,-99,-99,0.6844,0.03,33116.3413864271,NA,NA,NA,NA,NA,0,0.86309,0,0,0.10535,3.14,345.78,3.312,3581.00689088889,16.3682575083333
16139,NA,93.55794732,3.7,5,444,176,11293,9,10901.31254,1.4345,0.38,378608.503581401,NA,NA,NA,NA,NA,0.02238,0.62893,0,0.01199,0.31342,2.3,427.053008,14.807,3324.631577,15.4540705683333
16598,NA,9.085936249,0.87,0,-99,-99,-99,-99,-99,0.6567,0.04,36768.7922342277,NA,NA,NA,NA,NA,0.02452,0.66561,0,0.13385,0.17344,0.44,414.158008,3.677,3470.43882977778,16.0965897166667
16693,NA,6.559014796,1.28,1,1,0,0,9,10901.31254,0.8161,0.03,26542.8950507871,NA,NA,NA,NA,NA,0.01973,0.61696,0,0.00919,0.35412,0.8,426.696016,2.654,3319.63347311111,15.7067949433333
16848,NA,10.26658082,1.23,1,1,1,19,4,1021.879613,2.1334,0.04,41546.6019991097,NA,NA,NA,NA,NA,0.00731,0.45233,0,0.01017,0.5285,1.77,353.925,4.155,3529.38048116667,15.8380111394444
17211,NA,21.2169725,2.01,0,-99,-99,-99,-99,-99,0.5292,0.09,85860.4366476468,NA,NA,NA,NA,NA,0.00151,0.83334,0,0.03609,0.08202,2.86,543.795,8.586,3351.23271427778,15.4652362938889
17242,NA,10.47447255,1.18,0,-99,-99,-99,-99,-99,1.1061,0.04,42387.8942576181,NA,NA,NA,NA,NA,0,0.85707,0,0.02513,0.11771,1.82,391.598008,4.239,3561.24544088889,16.0270940188889
17554,NA,8.761207395,0.7,0,-99,-99,-99,-99,-99,0.2202,0.04,35454.6857472381,NA,NA,NA,NA,NA,0,0.35287,0,0.005,0.60036,0.42,220.35,3.546,3758.52814277778,16.6065143322222
17891,NA,5.872168214,1.27,0,-99,-99,-99,-99,-99,10.3503,0.02,23763.3774998988,NA,NA,NA,NA,NA,0,0.17565,0,0.00553,0.81866,0.59,325.641992,2.376,3644.10839338889,16.4278404255556
18460,NA,9.424740327,0.77,0,-99,-99,-99,-99,-99,1.0992,0.04,38139.8580672575,NA,NA,NA,NA,NA,0.06978,0.89402,0,0,0.03339,5.58,455.933008,3.814,3295.32806805556,15.884963455
18466,NA,5.269032656,0.62,1,1,0,0,6,2708.866296,0.0603,0.02,21322.6201125005,NA,NA,NA,NA,NA,0,0.81427,0,0,0.18574,2.78,383.958984,2.132,3593.40333438889,16.4804797
18561,NA,13.27332415,1.4,0,-99,-99,-99,-99,-99,0.5486,0.05,53714.2331350411,NA,NA,NA,NA,NA,0.13179,0.3086,0,0.52917,0.01859,1.17,235.950996,5.372,3845.02975938889,16.8770088822222
18584,NA,6.195449122,1.25,0,-99,-99,-99,-99,-99,0.0977,0.03,25071.6244668366,NA,NA,NA,NA,NA,0,0.03173,0,0,0.96827,0,232.874004,2.507,3745.24871894444,16.3239757794444
18591,NA,13.09510647,1.17,1,1,0,0,10,6203.674513,1.6943,0.05,52993.0252519121,NA,NA,NA,NA,NA,0.05743,0.67704,0,0.09579,0.16455,1.29,415.183984,3.518,3423.4163545,15.9834453155556
18706,NA,73.94810612,3.26,0,-99,-99,-99,-99,-99,2.1803,0.3,299251.774998988,NA,NA,NA,NA,NA,0.08205,0.5818,0,0.23529,0.07714,1.37,235.364004,29.926,3853.39830077778,16.4315790755556
18759,NA,5.411829941,1.63,0,-99,-99,-99,-99,-99,12.1233,0.02,21900.489421715,NA,NA,NA,NA,NA,0.00532,0.59777,0.03225,0.07148,0.29063,1.42,320.439004,2.19,3674.02496288889,16.0013310066667
18781,NA,14.10038091,1.24,0,-99,-99,-99,-99,-99,1.5302,0.06,57061.1505402452,NA,NA,NA,NA,NA,0.0447,0.39707,0.18592,0.22186,0.11449,0.54,232.694004,5.706,3812.75278988889,16.1549767411111
19053,NA,28.59472144,3.08,2,4,2,262,2,675.637885,5.0927,0.12,115716.569301121,NA,NA,NA,NA,NA,0.00216,0.44279,0.00029,0.02592,0.52502,1.37,182.833008,12.152,3823.54967277778,15.9832228288889
19066,NA,51.81041024,1.68,0,-99,-99,-99,-99,-99,0.5806,0.21,209665.372668043,NA,NA,NA,NA,NA,0.12039,0.79159,0,0.02239,0.0155,0.83,233.745996,20.967,4015.6187135,16.0300221394444
19109,NA,9.732918367,0.78,0,-99,-99,-99,-99,-99,2.6695,0.04,39386.9870381611,NA,NA,NA,NA,NA,0.02311,0.465,0.22472,0.01776,0.26574,0.63,316.58,3.939,3702.38262527778,16.4009236822222
19156,NA,305.0576109,17.77,5,267,56,5673,9,5898.616902,6.1272,1.24,1234501.27837805,NA,NA,NA,NA,NA,0.03532,0.60858,0,0.18603,0.1376,2.18,403.618008,123.762,3372.35248205556,14.7159434988889
19322,NA,11.64398599,0.91,0,-99,-99,-99,-99,-99,0.3231,0.05,47120.6587754441,NA,NA,NA,NA,NA,0,0.07026,0,0,0.92975,1.57,233.826992,4.712,3852.66836488889,16.9451549205556
19758,NA,13.33677907,0.93,6,1385,-99,-99,-99,-99,0.2431,0.05,53971.0212860669,NA,NA,NA,NA,NA,0.46854,0.25463,0,0.04648,0.21596,2.03,182.975,5.606,3913.22644677778,16.6503114138889
19780,NA,5.764986962,1.01,0,-99,-99,-99,-99,-99,1.1854,0.02,23329.6384686982,NA,NA,NA,NA,NA,0.06512,0.20879,0,0,0.72566,2.05,225.503008,2.333,3744.36169216667,16.2509781116667
19829,NA,12.69060836,1.25,0,-99,-99,-99,-99,-99,2.3267,0.05,51356.1100724374,NA,NA,NA,NA,NA,0.05497,0.66759,0,0.02901,0.2424,1.77,206.205996,5.136,3871.27190272222,16.3517660505556
19840,NA,9.249902376,0.84,0,-99,-99,-99,-99,-99,0.2843,0.04,37432.3272065072,NA,NA,NA,NA,NA,0.07985,0.14632,0,0,0.74816,2.52,225.435996,3.743,3761.23331361111,16.5207777011111
20747,NA,6.329927684,1.02,2,2,2,94,4,1293.15547,0.0775,0.03,25615.8297276517,NA,NA,NA,NA,NA,0,0.71742,0,0,0.28258,6.07,343.883008,2.562,3783.45941133333,16.4532985127778
20804,NA,725.9859184,28.95,5,502,412,36342,5,1780.184728,7.0859,2.94,2937905.86540407,NA,NA,NA,NA,NA,0.07477,0.60095,0.01404,0.06256,0.18053,6.2,358.44,124.62,3631.53903533333,15.2743060688889
21266,NA,42.56580458,3.79,0,-99,-99,-99,-99,-99,1.0652,0.17,172254.480110072,NA,NA,NA,NA,NA,0.00338,0.56411,0,0.00413,0.40594,0.68,184.42,17.226,3989.81530544444,16.2691628816667
21303,NA,7.425386625,0.69,0,-99,-99,-99,-99,-99,0.3918,0.03,30048.9119218162,NA,NA,NA,NA,NA,0,0.77794,0,0,0.21465,0.85,189.636992,3.005,4030.02434811111,16.8979146177778
21306,NA,166.5191799,4.07,0,-99,-99,-99,-99,-99,3.4404,0.67,673866.617700619,NA,NA,NA,NA,NA,0.00171,0.47466,0,0.00113,0.50671,0.75,192.135,67.388,3951.19097605556,15.7061368394444
21322,NA,9.517017204,1.02,0,-99,-99,-99,-99,-99,0.2997,0.04,38513.2823600826,NA,NA,NA,NA,NA,0,0.71004,0,0,0.28996,0.85,196.53,3.851,4006.73134366667,16.5358681477778
21392,NA,253.9213459,7.91,0,-99,-99,-99,-99,-99,3.9909,1.03,1027564.02371414,NA,NA,NA,NA,NA,0.00877,0.55138,0,0.00135,0.40166,0.5,189.65,102.759,3978.66208611111,15.6342102272222
21398,NA,5.364289365,1.14,0,-99,-99,-99,-99,-99,1.8954,0.02,21708.1031322083,NA,NA,NA,NA,NA,0,0.37206,0,0.00353,0.62441,0.34,188.368008,2.171,4046.33532594444,16.6280246755556
21401,NA,28.51372389,1.84,0,-99,-99,-99,-99,-99,0.8762,0.12,115388.789972077,NA,NA,NA,NA,NA,0,0.39511,0,0,0.59039,0.38,184.840996,11.539,4038.96712533333,16.5113604672222
21506,NA,13.24126603,1.32,0,-99,-99,-99,-99,-99,0.4581,0.05,53584.5009509935,NA,NA,NA,NA,NA,0,0.79109,0,0,0.20039,0.26,184.515996,5.359,4067.64077205556,16.7635823611111
21523,NA,11.6509036,0.99,0,-99,-99,-99,-99,-99,1.3457,0.05,47148.6528266764,NA,NA,NA,NA,NA,0.01895,0.50034,0,0.00059,0.46704,0.28,183.609004,4.715,4072.22455994444,16.8342576611111
21530,NA,5.797487497,0.69,1,1,2,839,0,0,0.108,0.02,23461.1610092671,NA,NA,NA,NA,NA,0,0,0,0,1,0.04,215.835,2.346,4046.83115166667,16.9667456927778
21560,NA,6.069406577,0.65,0,-99,-99,-99,-99,-99,2.3858,0.02,24561.5579175266,NA,NA,NA,NA,NA,0.03592,0.11208,0.02779,0.0127,0.81042,0.09,222.163008,2.456,4045.42402005556,17.0175194433333
21563,NA,5.161888666,0.94,0,-99,-99,-99,-99,-99,1.4213,0.02,20889.0318724455,NA,NA,NA,NA,NA,0,0,0,0,1,0.94,185.543008,2.089,4092.82099422222,16.8783886322222
21651,NA,18.59602981,1.09,0,-99,-99,-99,-99,-99,0.5955,0.08,75254.0561288495,NA,NA,NA,NA,NA,0.00772,0.77061,0,0.13468,0.08699,0.56,225.231992,7.526,4014.49017844444,16.545055425
21654,NA,47.87273725,1.81,0,-99,-99,-99,-99,-99,0.482,0.19,193730.473271013,NA,NA,NA,NA,NA,0.14772,0.3778,0,0.20623,0.25042,1.79,224.794004,19.373,4000.3881055,16.3213646533333
21666,NA,5.2271305,0.7,1,1,0,0,2,839.66952,0.2909,0.02,21153.0512727126,NA,NA,NA,NA,NA,0,0.37814,0,0.08869,0.48951,0.56,223.425996,2.115,4048.23476316667,16.9872458944444
22087,NA,8.368992613,1.72,2,2,0,0,0,0,0.1592,0.03,33867.4785035005,NA,NA,NA,NA,NA,0,0.46294,0,0,0.53706,1.8,207.053008,3.387,3941.56378733333,16.1925167016667
22187,NA,10.92579306,2.83,3,5,0,0,0,0,0.5424,0.04,44214.2894257618,NA,NA,NA,NA,NA,0,0.21092,0,0.00442,0.61007,0.41,213.419004,4.422,3950.63066033333,16.6953863783333
22312,NA,10.13461938,1.45,2,4,0,0,1,5.003862,0.5321,0.04,41012.58297924,NA,NA,NA,NA,NA,0.02312,0.48262,0,0.00827,0.486,1.41,217.725996,4.101,3980.17801411111,16.4769405572222
