"ihdlkid","new_key","lake_area_ac","lake_perim_km","lake_order","lake_link_num","uplakes_n","uplakes_area_ac","downlakes_n","downlakes_area_ac","ws_area_km2","lake_area_km2","lake_area_m2","maxdepth_ft","meandepth_ft","maxdepth_m","meandepth_m","geom_ratio","ws_urban_prop","ws_forest_prop","ws_agriculture_prop","ws_shrub_prop","ws_wetland_prop","ws_slope_deg","ws_mean_elevation_m","lake_area_ha","dd_mean","surface_temp_mean"
145333252,NA,6.764686274,0.83,1,1,1,17,10,3664.541452,0.1041,0.03,27375.202436162,NA,NA,NA,NA,NA,0,0.33718,0,0,0.63785,1.63,272.35,2.734,5056.13062772222,17.8658707072222
145333254,"47-135",150.3400104,3.13,0,-99,-99,-99,-99,-99,1.1536,0.61,608393.065436445,41,13.35434392,12.5,4.07,2.23427204038081,0.66626,0.20665,0.02375,0.01985,0.06484,4.23,273.961992,61.32,5542.65757033333,17.5709261688889
145333260,"47-88",31.92277179,2.28,0,-99,-99,-99,-99,-99,0.9052,0.13,129184.459511958,24,5.84503837,7.32,1.78,2.589950638918,0.49491,0.16659,0.06054,0.14936,0.09887,2.75,268.3,12.959,5258.7332035,18.0972987166667
145333484,NA,8.702919148,0.87,1,1,0,0,12,3844.803053,0.1467,0.04,35218.8059892356,NA,NA,NA,NA,NA,0.5985,0.03544,0,0,0.35583,4.25,264.670996,3.522,5064.27567594444,17.7470755605556
145333488,"47-96",45.5510459,2.22,3,8,5,241,11,3799.252007,1.383,0.18,184335.097325078,33,16.29470698,10.06,4.97,2.0597002771154,0.19631,0.33991,0.02263,0,0.42264,4.22,267.968008,18.515,5080.54931166667,17.4526491494444
145333503,NA,5.001540148,1.1,2,3,0,0,14,3908.442774,0.1049,0.02,20240.136570758,NA,NA,NA,NA,NA,1,0,0,0,0,2.35,294.224004,NA,NA,NA
145333507,NA,41.69396714,2.76,5,77,9,336,13,3866.748807,0.7154,0.17,168726.345109465,NA,NA,NA,NA,NA,0.73008,0.08541,0,0.01132,0.15138,3.37,271.228008,18.253,5539.81457638889,17.2662953511111
145333509,"47-133",26.52159229,1.25,0,-99,-99,-99,-99,-99,0.2127,0.11,107327.070090243,10,4.58662375,3.05,1.4,5.93440906104836,0.2426,0.49083,0,0,0.23977,3.87,271.783008,10.736,5210.64506594444,18.3034230777778
145333512,NA,5.936080873,0.66,0,-99,-99,-99,-99,-99,0.2732,0.02,24022.0180203148,NA,NA,NA,NA,NA,0.13982,0.37701,0.37921,0,0.09737,3.79,269.658008,2.401,5066.54469177778,18.2058014144444
145333525,"47-99",34.81844584,1.46,0,-99,-99,-99,-99,-99,0.4007,0.14,140902.617619684,NA,NA,NA,NA,NA,0.78437,0.15922,0.03045,0,0.02246,3.27,268.646992,14.093,5017.76260138889,17.4845716516667
