"survey_number","survey_effort_key","basin_number","reading_datetime","surface_depth_m","surface_temp_c","surface_do_mgl","bottom_depth_m","bottom_temp_c","bottom_do_mgl","thermo_depth_m"
4037,44,NA,"8/26/03",0.013,24.1,9.23,4.007,20.739,0.47,3.8465
4039,31,NA,"8/18/03",0,26.667,9.22,23.773,3.889,0.12,5.30673461016546
4039,32,NA,"8/18/03",0.305,26.444,8.88,23.773,4,0.12,5.33147748223981
4040,11,NA,"8/22/03",0,24.444,8.8,2.743,23.333,8.6,1.90481296144381
4042,7,NA,"8/22/03",0.305,25.556,11.5,7.924,8.333,0.11,4.42800177883728
4053,40,NA,"8/19/03",0,24.444,9.2,8.229,12.778,0.2,4.54372575532444
4081,24,NA,"8/11/03",0,24,8.8,8.625,13.056,0.2,5.70344309827732
4082,18,NA,"8/13/03",0.267,25.6,9.45,10.464,10.439,2.49,5.59702870726749
4085,4,NA,"8/25/03",0,22.778,9,4.572,22.778,8.8,NA
4086,73,NA,"8/20/03",0,25,9,7.62,24.444,4.4,NA
4087,4,NA,"8/8/03",0,22.778,9.4,14.02,17.222,0.1,10.514750410509
4089,25,NA,"8/12/03",0.03,23.611,8.2,8.412,23.333,4.7,NA
4090,12,NA,"8/11/03",0.039,24.056,8.67,4.637,16.561,0.15,2.96145867239466
4129,19,NA,"8/22/03",0,26.356,NA,15.544,5.756,NA,5.90427615163141
4134,34,NA,"8/26/03",0.011,23.817,8.11,10.975,7.222,0.31,4.94880987002016
4135,41,NA,"9/4/03",0.271,20.894,9.28,18.103,4.989,0.2,6.78591902973206
4136,10,NA,"8/26/03",0,23.889,8.7,12.496,6.667,0.1,4.45659108312927
4136,11,NA,"8/26/03",0,22.778,8.7,6.096,11.111,0.1,3.62045888428287
4137,10,NA,"8/27/03",0,22.222,8.7,10.972,7.778,0.2,4.40826696225444
4156,29,NA,"8/13/03",0.213,24.056,9.2,14.843,11.889,0.3,7.60065306134925
4165,34,NA,"8/19/03",0,26.667,10.36,6.316,22.317,0.7,4.13759757986943
4169,34,NA,"8/19/03",0.229,25.117,13,4.272,22.361,3.09,2.13280092746387
4181,36,NA,"8/20/03",0.01,25.333,9.41,6.736,22.667,1.47,6.6185
4198,22,NA,"8/28/03",0.009,23.756,9.39,3.493,23.433,8.75,NA
4210,33,NA,"8/20/03",0.016,26.056,7.4,12.814,9.517,0.35,5.21067524421203
4266,22,NA,"8/14/03",0.244,23.8,9.4,22.237,6.183,0.23,4.63518746577253
4299,22,NA,"8/12/03",0.09,24.267,8.73,5.419,19.006,1.17,4.08843416479979
4326,19,NA,"8/12/03",0.003,33.517,7,8.987,10.789,0.31,0.511
4336,1,NA,"8/19/02",0,23.878,8.93,8.534,13.056,0.26,6.13424495945558
4491,18,NA,"9/5/02",0,21.789,9.17,21.945,6.967,0.21,13.3399577313962
4509,105,NA,"8/18/04",0,20,12.8,5.486,17.222,4.2,5.1815
4544,38,NA,"8/6/03",0.305,22.378,8.79,10.972,11.911,0.03,4.45394464811329
4552,37,NA,"8/24/04",0.32,22.689,10.45,2.764,21.55,10.61,1.88723138533382
4553,29,1,"8/23/04",0.03,21.739,10.6,12.536,11.478,0.15,7.53037255635986
4554,21,NA,"8/19/04",0.329,21.75,11.49,14.02,10.022,0.1,8.07049874082616
4555,14,NA,"8/19/04",0.302,21.428,9.45,8.848,17.478,0.1,7.32743472333539
4576,20,NA,"9/10/03",0.914,22.5,7.4,12.191,6.5,0.5,6.19227216030566
4584,35,1,"8/10/04",0.049,21.45,10.19,7.114,21.261,0.47,NA
4604,31,1,"8/11/04",0.009,22.139,10.87,20.899,4.761,0.06,4.65218678772269
4604,31,2,"8/11/04",0.015,21.889,11.42,12.115,8.539,0.1,5.04308170816785
4604,31,3,"8/11/04",0.098,21.972,11.71,7.016,11.489,0.19,4.77414944719365
4605,18,NA,"8/24/04",0.369,21.85,10.8,5.922,20.589,0.23,5.771
4609,20,1,"8/23/04",0.457,22.578,10.5,5.303,18.689,0.72,5.239
4609,20,2,"8/23/04",0.418,22.439,10.86,6.053,15.978,0.48,5.52280494565355
4609,20,3,"8/23/04",0.311,22.4,10.51,4.791,19.55,0.48,4.6385
4667,70,NA,"8/4/04",0.006,23.861,8.13,18.315,7.45,4.4,3.46773522193577
4669,63,NA,"8/4/04",0.012,21.8,9.25,16.788,10.5,4.98,7.82282390246134
4673,37,NA,"8/4/04",0.027,22.85,9.58,5.486,21.928,9.04,NA
4675,40,NA,"8/3/04",0,27.722,8.49,5.523,16.839,0.4,0.1785
4713,15,NA,"8/6/03",0,23.367,8.7,7.01,21.444,4.36,2.02109830787554
4732,27,NA,"8/3/04",0,24.278,9.43,9.451,16.972,0.26,5.37697580302706
4741,32,NA,"8/9/04",0.012,22.411,8.61,25.596,7.428,0.27,9.84942441990362
4741,33,1,"8/19/04",0.012,23.628,9.66,10.073,8.6,0.17,6.22068466572999
4742,34,1,"8/7/04",0.003,23.35,8.68,16.455,10.289,0.13,9.32622181878747
4742,34,2,"8/7/04",0,23.239,8.63,10.061,17.622,0.4,7.77281728050173
4743,20,1,"8/19/04",0.006,22.25,8.45,20.427,5.3,0.11,4.45462965784599
4760,34,1,"8/16/04",0,22.489,11.71,8.702,8.622,0.34,0.956771465067882
4771,28,1,"8/18/04",0.286,22.2,15.05,5.337,19.928,0.2,2.94478387269264
4854,26,1,"8/8/04",0.01,23.6,7.92,11.919,6.689,0.17,4.36830348391363
4855,25,NA,"8/9/04",0.003,21.139,9.26,22.859,4.811,0.15,3.2852254903974
4915,18,NA,"8/11/04",0,19.444,NA,8.229,10.556,NA,3.93000116615179
4915,21,NA,"8/3/04",0,24.7,8.74,6.583,11.461,0.18,2.34928000627273
4916,16,NA,"8/10/04",0,21.111,NA,6.4,21.111,NA,NA
4916,19,NA,"8/2/04",0.003,23.239,9.87,6.239,20.878,0.48,4.77957480695319
4917,14,NA,"8/9/04",0,22.5,NA,9.144,14.722,NA,7.05040838328919
4919,16,1,"8/3/04",0,27.539,8.65,15.556,11.461,0.15,2.14903204713837
4935,55,NA,"8/8/04",0.006,22.711,8.47,5.486,22.211,8.39,NA
4968,38,1,"8/8/04",0,22.272,9.03,6.721,21.589,8.64,NA
5202,23,1,"8/15/05",0.305,24.789,10.07,7.01,13.378,0.7,4.89214113056564
5202,23,2,"8/15/05",0.305,24.022,9.08,5.486,19.861,1.03,5.3335
5202,23,3,"8/15/05",0.305,24.072,8.98,4.267,21.978,2.37,4.1145
5234,14,1,"8/18/04",0.329,21.989,10.73,4.886,19.889,0.47,2.60724534473025
5368,1,NA,"8/3/04",0,24.111,9.52,5.245,20.839,0.69,0.512826621481581
5371,1,NA,"8/11/04",0.305,21.611,8.58,18.287,8.022,0.5,6.58911550651464
5372,1,NA,"8/30/04",0,21.489,9.1,9.144,8.861,0.26,5.12693362750744
