"survey_number","survey_effort_key","basin_number","TDO3"
6912,35,NA,"24.4166666666667"
6919,23,NA,"16.9158620689655"
6924,24,NA,"25.5340909090909"
6926,19,NA,"6.1868125"
6927,34,NA,"24.287025"
6933,20,NA,"8.75663225806452"
6938,33,NA,"NA"
6952,29,NA,"7.36627777777778"
7101,31,NA,"17.3362619808307"
7169,30,NA,"17.1998176470588"
7195,14,NA,"18.8723176470588"
7224,29,NA,"NA"
7232,15,NA,"11.7519109414758"
7331,19,NA,"NA"
7332,17,NA,"21.8724"
7333,17,NA,"NA"
7334,27,NA,"7.16108928571428"
7335,19,NA,"7.16108928571428"
7336,22,NA,"NA"
7406,16,NA,"19.8014430823117"
7419,16,NA,"NA"
7451,22,NA,"22.7571843575419"
7522,53,NA,"18.3040528846154"
7523,19,NA,"9.12469938650307"
7530,20,NA,"NA"
7551,25,NA,"6.26242857142857"
7551,26,NA,"12.7241330935252"
7552,23,NA,"9.27569117647059"
7553,28,NA,"22.2118148148148"
7553,29,NA,"22.1071772151899"
7557,31,NA,"10.4946470588235"
7559,33,NA,"18.5094360902256"
7560,20,NA,"13.7688444444444"
7579,19,NA,"7.57827027027027"
7599,18,NA,"19.7279785407725"
7619,30,NA,"17.1987372013652"
7646,25,NA,"10.6731904761905"
7647,4,NA,"6.50396153846154"
7693,21,NA,"NA"
7694,1,NA,"11.7312244897959"
7801,37,NA,"16.0515357142857"
7802,2,NA,"16.9658461538462"
7819,25,NA,"20.8405"
7825,32,1,"18.9901428571429"
7825,32,2,"20.7759472049689"
7856,21,NA,"19.0919358669834"
7926,6,NA,"20.0134690265487"
7927,33,NA,"16.6350222222222"
7928,35,NA,"NA"
8059,25,NA,"22.9651162790698"
8060,28,NA,"7.66666666666667"
8061,21,NA,"6.63131818181818"
8063,27,1,"8.63546153846154"
8063,27,NA,"17.486"
8072,28,NA,"9.23668382352941"
8075,42,NA,"18.66075"
8077,31,NA,"13.45245"
8081,24,NA,"15.5092155688623"
8093,26,NA,"22.696829787234"
8109,23,NA,"22.778358490566"
8113,29,NA,"7.47551960784314"
8114,20,NA,"NA"
8125,21,NA,"13.2855844875346"
8143,22,NA,"NA"
