"FID_1","OGF_ID","Area_sqm","Perim_m","FID_2","OGF_ID_1","My_intwb_1","Distance","Shape_Leng","Shape_Area","My_intwbdy","PDEM_South"
395,51222104,59278500,72659.9999999,392,51222104,393,0,72660,59278500,0,392.521577851505
386,51221541,4457700,18780,438,51221541,439,0,18780,4457700,0,328.148663550658
12,51211989,7260300,16680,7572,51211989,7573,0,16680,7260300,0,317.382846728715
650,51473016,5688900,13140,224,51473016,225,0,13140,5688900,0,338.430368064684
666,51473154,37771200,93719.9999999,271,51473154,272,0,93720,37771200,0,358.16686585383
665,51473150,65954700,160140,403,51220463,404,80.32254295,160140,65954700,0,370.106761291011
755,70711096,34617600,50220,411,70711096,412,0,50220,34617600,0,347.129588749163
663,51473142,208926000,236160,468,51473142,469,0,236160,208926000,0,372.327116487483
660,51473119,125391600,108960,475,51473119,476,0,108960,125391600,0,356.203920030617
683,51473263,211276800,207900,7399,51473263,7400,0,207900,211276800,0,365.587221392378
684,51473266,16477200,40080,7408,51473266,7409,0,40080,16477200,0,388.528354055527
685,51473292,1910700,8760,7424,51473292,7425,19.724975,8760,1910700,0,403.937956081827
524,51472568,82634399.9999,211260,7554,51210599,7555,177.84464133,211260,82634400,0,308.956338303277
527,51472600,50850000,85020,7563,51472600,7564,0,85020,50850000,0,297.449330383841
528,51472639,89548200,121860,7571,51472639,7572,0,121860,89548200,0,337.125710035038
617,51472909,14645700,28620,7717,51472909,7718,0,28620,14645700,0,339.188450165069
640,51472983,5693400,17880,7784,51472983,7785,0,17880,5693400,0,343.103540150983
930,106549146,132849900,150360,8006,106549146,8007,0,150360,132849900,0,321.29078706206
523,51472531,17364600,33960,8038,51472531,8039,0,33960,17364600,0,317.745123587112
616,51472908,23277600,39960.0000001,8146,51472908,8147,0,39960,23277600,0,361.808004686645
1129,106551425,121731300,110580,7426,106551425,7427,0,110580,121731300,0,NA
1103,106551182,2848500,9840,8323,106551182,8324,0,9840,2848500,0,293.933533312661
2907,108605101,427770900,322860,196,108605101,197,0,322860,427770900,0,332.380866415966
2906,108605100,110225700,134940,412,51217810,413,269.6499563,134940,110225700,0,331.265062792618
3000,108606170,15756300,36240,501,108606170,502,0,36240,15756300,0,330.057752505861
2905,108605098,44173800,54600,621,108605098,622,0,54600,44173800,0,322.998529174228
2812,108571992,3978000,15180,7448,108571992,7449,0,15180,3978000,0,301.702442945938
2843,108572344,68676300,106500,8053,108572344,8054,0,106500,68676300,0,296.112425095296
2811,108571953,96534000,84960,8391,108571953,8392,0,84960,96534000,0,332.693106046685
2640,108568854,13176900,26160,8427,108568854,8428,0,26160,13176900,0,337.874833227825
3016,108606289,36676800,44280,169,108606289,170,0,44280,36676800,0,322.357809486884
3037,108606346,19242000,60000,173,108606346,174,0,60000,19242000,0,319.827608943185
3036,108606345,9262800,21540,179,108606345,180,0,21540,9262800,0,323.982635088852
3012,108606285,1915200,9900,596,108606285,597,0,9900,1915200,0,325.106210651254
3271,108676942,310052700,296820,8668,108676942,8669,0,296820,310052700,0,NA
3285,108676969,9121500,22560,8681,108676969,8682,0,22560,9121500,0,NA
3499,108690472,1121400,6180,8691,108690472,8692,0,6180,1121400,0,NA
3287,108676983,3339900,12900,8701,108676983,8702,0,12900,3339900,0,NA
3197,108676492,6208200,16320,8725,108676492,8726,0,16320,6208200,0,NA
3173,108676419,9061200,25440,8827,108676419,8828,0,25440,9061200,0,NA
3486,108690396,5012100,14220,8894,108690396,8895,0,14220,5012100,0,NA
3314,108684979,90549900,114660,9500,108684979,9501,0,114660,90549900,0,NA
3607,108690617,12877200,27900,8582,108690617,8583,0,27900,12877200,0,NA
3595,108690603,127001700,192420,8694,108690603,8695,0,192420,127001700,0,NA
3599,108690608,8952299.99997,23160,8695,108690608,8696,0,23160,8952300,0,NA
3612,108690622,32478300,150780,8841,108690622,8842,57.7012,150780,32478300,0,NA
3605,108690615,105986700,160260,8843,108690615,8844,0,160260,105986700,0,NA
3568,108690572,54851400,90240,8944,108690572,8945,0,90240,54851400,0,NA
3528,108690530,37882800,61500,8946,108690530,8947,0,61500,37882800,0,NA
3604,108690614,18826200,42420,9057,108690614,9058,0,42420,18826200,0,NA
4576,225990483,9121500,20580,9356,225990483,9357,0,20580,9121500,0,NA
8091,750530003,27961200,40500,2472,750530003,2473,0,40500,27961200,0,NA
9208,750777616,10484100,26580,1837,750777616,1838,0,26580,10484100,0,NA
9234,750777721,28218600,37500,2185,750777721,2186,0,37500,28218600,0,NA
9175,750777528,68023800,102840,2283,750545549,2284,118.74323237,102840,68023800,0,NA
9271,750777824,29468700,37680,4278,750777824,4279,0,37680,29468700,0,NA
9276,750777833,133020000,114780,4284,750777833,4285,0,114780,133020000,0,NA
9247,750777759,8902800,19740,4364,750777759,4365,0,19740,8902800,0,NA
9239,750777734,148031100,150780,4401,750777734,4402,0,150780,148031100,0,NA
9281,750777845,69372000,68040,4445,750777845,4446,0,68040,69372000,0,NA
9335,750778026,50121900,67800,7483,750778026,7484,0,67800,50121900,0,NA
9344,750778064,11859300,23040,7491,750778064,7492,0,23040,11859300,0,NA
9520,1300585238,49162500,66240,9104,1300585238,9105,0,66240,49162500,0,NA
9518,1300585204,4671000,15900,9141,1300585204,9142,0,15900,4671000,0,NA
9532,1300789265,122572800,156300,9467,1300789265,9468,0,156300,122572800,0,NA
0,0,0,0,0,0,0,0,18840,7612200,129905,198.473965738422
0,0,0,0,0,0,0,0,23640,5834700,131801,203.403766001887
0,0,0,0,0,0,0,0,151140,291808800,131802,268.387715972539
0,0,0,0,0,0,0,0,12780,4006800,134182,478.064532709251
0,0,0,0,0,0,0,0,83040,84670200,134185,353.177529721566
0,0,0,0,0,0,0,0,13380,3266100,134195,447.919247452502
0,0,0,0,0,0,0,0,96900,43200900,130342,275.757766558013
0,0,0,0,0,0,0,0,60060,24046200,130373,195.203461181655
0,0,0,0,0,0,0,0,30780,12109500,130515,299.2910827047
0,0,0,0,0,0,0,0,11820,2621700,134266,463.890348665583
0,0,0,0,0,0,0,0,7320,1458900,134323,446.490649986385
0,0,0,0,0,0,0,0,63180,47745000,136269,302.02185878743
0,0,0,0,0,0,0,0,19200,5435100,130744,240.180884631467
0,0,0,0,0,0,0,0,13140,4036500,130745,251.55760912773
0,0,0,0,0,0,0,0,29220,13787100,130749,257.382839785333
0,0,0,0,0,0,0,0,6600,1420200,130756,248.354438046841
0,0,0,0,0,0,0,0,45720,19814400,130771,240.107070430768
0,0,0,0,0,0,0,0,65340,49643100,134342,324.295221858937
0,0,0,0,0,0,0,0,21840,8625600,134345,450.940261009738
0,0,0,0,0,0,0,0,70560,52560900,134389,329.408092341292
0,0,0,0,0,0,0,0,36840,17905500,134430,412.953886882572
0,0,0,0,0,0,0,0,12240,2232000,134455,359.240648072766
0,0,0,0,0,0,0,0,10800,2905200,134569,437.931873704421
0,0,0,0,0,0,0,0,43740,23879700,130988,264.631857487167
0,0,0,0,0,0,0,0,7560,1846800,134577,431.926091958207
0,0,0,0,0,0,0,0,31740,12160800,134628,417.377246027802
0,0,0,0,0,0,0,0,45720,18487800,134659,369.19316974915
0,0,0,0,0,0,0,0,80640,65195100,134685,303.108053115219
0,0,0,0,0,0,0,0,27000,13489200,134778,339.320683094734
0,0,0,0,0,0,0,0,56040,26275500,131849,233.09434210687
0,0,0,0,0,0,0,0,11160,2174400,134837,244.230071389912
0,0,0,0,0,0,0,0,15660,5497200,134866,332.720134222984
