"OBJECTID","IHDID","lake_name","New_Key","Area_ac","Volume_ac_ft","MeanDepth_ft","MaxDepth_ft"
922,83976061,"Shupac Lake","20-76",93.45574948,2698.16762946,28.87107154,97
923,121858309,"Lost Lakes","72-53",1.42184436,18.26677111,12.8472367,21
924,121858693,"Long Lake","18-296",237.96248235,3355.75260956,14.10202388,76
925,121859251,"Silver Lake","18-150",56.21993376,1202.73676453,21.39342194,52
926,121859500,"Big Lake","67-1",210.72800984,3576.3250507,16.97128471,85
927,44365442,"Ironjaw Lake","75-530",67.97275991,769.70756431,11.32376507,41
928,44365716,"Straits Lake","75-538",181.7890044,1393.59577196,7.66600695,25
929,44365716,"Straits Lake","75-543",31.45231427,573.98712916,18.24944022,40
930,92131602,"Brampton Lake","21-242",24.39646721,112.22599781,4.60009217,7
931,109943606,"Cranberry Lake","48-601",90.58562048,77.22352053,0.85249204,5
932,109944304,"Stuart Lake","48-290",74.59913782,971.0248128,13.01656884,23
933,118254033,"Peach Lake","65-79",233.07374949,4509.89264135,19.34963783,73
934,60090988,"Cool Lake","43-237",82.8907589,1794.76678733,21.65219394,43
935,123147761,"Foxpaw Lake","27-892",16.04677637,120.8996438,7.53420133,31
936,123147745,"Mishike Lake","27-909",13.41411563,149.63997651,11.15541126,31
937,105233863,"Little Pelissier Lake","52-989",9.67541121,7.14888224,0.73887115,5
938,70330417,"Bearpaw Lake","36-445",14.24661366,113.01957674,7.93308357,17
939,70330185,"Moss Lake","27-232",33.44027706,422.77309136,12.64263124,41
940,82816948,"Gifford Lake","43-78",43.37465471,774.47484488,17.85546997,37
941,109946536,"Sporley Lake","52-139",77.02101767,1748.56252889,22.7024075,42
942,110736311,"Light Lake","36-630",125.93083293,1298.05049938,10.30764642,27
943,113471013,"Crooked Lake","60-91",49.31358545,1004.07923481,20.36110791,51
944,120020856,"Post Lake","40-133",15.48757689,42.2031281,2.72496649,7
945,60088122,"East Lake","40-61",93.82047702,621.25752376,6.62176897,16
946,83975637,"Five Lakes","69-285",49.23080515,119.54093486,2.42817347,7
947,83975637,"Five Lakes","69-286",19.48870723,64.45645033,3.30737435,7
