"Water_Body_Key","Water_Body_Name","FMU_Code","survey_number","Year","Survey_Purpose","new_key","Located_Town","Located_Range","Located_Section","primary_county_name","FirstOfSurvey_Begin_Timestamp","LastOfEnding_Effort_Timestamp","LONG_DD","LAT_DD","IHDLKID"
"29N05E1101","Beaver Lake","MI-MNH",8477,2010,"Status & Trends","4-1","29N","05E",11,"Alpena","6/21/10","8/26/10",-83.79899,44.93777,113471071
"31N07E1201","Seven Mile Impoundment","MI-MNH",8094,2009,"Status & Trends","4-15","31N","07E",12,"Alpena","5/11/09","5/14/09",-83.52047,45.10243,113470293
"31N08E0701","Four Mile Impoundment","MI-MNH",10950,2017,"Status & Trends","4-16","31N","08E",7,"Alpena","5/2/16","2/7/17",-83.50301,45.09305,113470293
"31N08E2201","Ninth Street Imp.","MI-MNH",10558,2015,"Status & Trends","4-20","31N","08E",22,"Alpena","5/18/15","6/2/15",-83.43755,45.07278,113470389
"10815","Fletcher Pond","MI-MNH",5510,2005,"Status & Trends","4-4","30N","05E",21,"Alpena","5/16/05","8/23/05",-83.84287,44.98277,113471001
"32N08E1501","Long Lake","MI-MNH",4935,2004,"Status & Trends","4-42","32N","08E",15,"Alpena","6/14/04","6/18/04",-83.43694,45.16547,122383070
"27N05W1701","Bear Lake","MI-MCM",4594,2004,"Status & Trends","40-104","27N","05W",20,"Kalkaska","5/24/04","5/27/04",-84.94399,44.72916,60087894
"27N06W0301","Manistee Lake","MI-MCM",3498,2004,"Status & Trends","40-117","27N","06W",3,"Kalkaska","5/17/04","5/20/04",-85.02065,44.78249,60087814
"27N06W1801","Crawford Lake","MI-MCM",6785,2007,"Status & Trends","40-145","27N","06W",18,"Kalkaska","5/7/07","9/25/07",-85.07899,44.7286,155417553
"27N08W3001","Guernsey Lake","MI-MCM",7883,2010,"Status & Trends","40-192","27N","08W",30,"Kalkaska","5/11/09","1/21/10",-85.32704,44.7111,155417594
"28N05W0501","Starvation Lake","MI-MCM",7587,2008,"Status & Trends","40-207","28N","05W",5,"Kalkaska","5/13/08","5/16/08",-84.94787,44.84666,60087664
"26N07W2101","East Lake","MI-MCM",3499,2004,"Status & Trends","40-61","26N","07W",21,"Kalkaska","5/10/04","5/13/04",-85.15621,44.63665,60088122
"08N09W3301","Murray Lake","MI-MSM",5505,2005,"Status & Trends","41-176","08N","09W",33,"Kent","5/1/05","5/31/05",-85.37954,43.03999,152707734
"07N11W3401","Reed Lake","MI-MSM",8109,2009,"Status & Trends","41-255.1","07N","11W",34,"Kent","5/11/09","6/18/09",-85.60343,42.95054,152707902
"10333","Campbell Lake","MI-MSM",6309,2006,"Status & Trends","41-29","05N","09W",19,"Kent","6/26/06","8/29/06",-85.42565,42.81138,157067745
"09N09W3301","Wabasis Lake","MI-MSM",8531,2010,"Status & Trends","41-464","09N","09W",33,"Kent","6/7/10","6/24/10",-85.37732,43.13804,152707436
"10N11W3201","Lime Lake","MI-MSM",10571,2015,"Status & Trends","41-510","10N","11W",32,"Kent","5/18/15","5/21/15",-85.63732,43.20665,152707244
"10326","Camp Lake","MI-MSM",4129,2003,"Status & Trends","41-516","09N","11W",7,"Kent","5/19/03","8/22/03",-85.66593,43.17665,152707304
"59N28W3401","Lake Fanny Hooe","MI-MWS",7101,2007,"Status & Trends","42-146","59N","28W",34,"Keweenaw","5/21/07","7/25/07",-87.86427,47.4636,116542223
"12691","Thayer Lake","MI-MWS",8489,2010,"Status & Trends","42-18","57N","31W",32,"Keweenaw","6/14/10","6/17/10",-88.26177,47.28915,116542475
"10620","Deer Lake","MI-MWS",9945,2013,"Status & Trends","42-34","57N","29W",6,"Keweenaw","6/24/13","6/27/13",-88.03732,47.35193,116542423
"57N30W0301","Lake Gratiot","MI-MWS",5506,2005,"Status & Trends","42-36","57N","30W",3,"Keweenaw","5/23/05","8/16/05",-88.12899,47.35304,116542415
"Kewee0031","Schlatter Lake","MI-MWS",9291,2012,"Status & Trends","42-61","58N","27W",16,"Keweenaw","6/25/12","6/28/12",-87.7401,47.42971,116542253
"58N29W0401","Lake Medora","MI-MWS",5408,2004,"Status & Trends","42-86","58N","29W",4,"Keweenaw","6/14/04","8/4/04",-87.98232,47.44221,116542245
"58N29W0401","Lake Medora","MI-MWS",11458,2017,"Status & Trends","42-86","58N","29W",4,"Keweenaw","8/22/17","8/22/17",-87.98232,47.44221,116542245
"58N29W0401","Lake Medora","MI-MWS",11785,2018,"Status & Trends","42-86","58N","29W",4,"Keweenaw","6/21/18","6/28/18",-87.98232,47.44221,116542245
"58N30W0201","Lake Bailey","MI-MWS",8490,2010,"Status & Trends","42-93","58N","30W",2,"Keweenaw","6/21/10","6/24/10",-88.09843,47.45749,116542239
"19N14W0301","Loon Lake","MI-MCM",6337,2006,"Status & Trends","43-198","19N","14W",3,"Lake","6/19/06","8/2/06",-85.9751,44.06804,82815230
"20N14W1501","Harper Lake","MI-MCM",5137,2004,"Status & Trends","43-254","20N","14W",15,"Lake","6/1/04","6/21/04",-85.97343,44.13304,NA
