"IHDID","IHDLKID","NEW_KEY","ACRES_IHD","GNIS_NAME","PERIM_KM","LAKE_CODE","STRAHLER","LINK","UP_LAKES","UP_LAKE_ACRES","DOWN_LAKES","DOWN_LAKE_ACRES","WL_KM2","UPSTREAM_CATCH"
123392553,123392553,"",6.583487953,"Thomas Lake",0.72,3,-99,-99,-99,-99,-99,-99,0.977,0
123392582,123392582,"",7.193549337,"",0.75,3,-99,-99,-99,-99,-99,-99,0.2775,0
123392716,123392716,"",14.01751432,"Kunze Lake",1.33,3,-99,-99,-99,-99,-99,-99,0.6476,0
123392747,123392747,"",9.548877776,"Beitner Lake",0.74,3,-99,-99,-99,-99,-99,-99,0.7677,0
123392756,123392756,"",17.96219213,"Amber Lake",1.72,1,2,2,0,0,3,379.056579,0.4037,1
123392775,123392775,"",9.171558203,"Pickle Pond",3.07,3,-99,-99,-99,-99,-99,-99,0.3607,0
123392889,123392889,"",35.53421756,"Steusser Lake",1.79,2,1,0,0,0,3,379.056579,1.2027,0
123392915,123392915,"",20.22030317,"Erickson Lake",1.28,1,2,3,0,0,0,0,0.1387,1
123392977,123392977,"",5.917987966,"",1.17,3,-99,-99,-99,-99,-99,-99,0.2189,0
123393003,123393003,"",11.32838239,"Johnson Lake",1.14,3,-99,-99,-99,-99,-99,-99,0.1094,0
123393006,123393006,"",24.55634597,"Three-On Lake",1.39,3,-99,-99,-99,-99,-99,-99,1.3055,0
123393009,123393009,"",19.08917329,"Maggie Lake",1.16,1,2,3,1,15,0,0,0.2724,1
123393017,123393017,"",12.61400962,"Mattie Lake",2.13,3,-99,-99,-99,-99,-99,-99,1.3308,0
123393023,123393023,"",15.72192589,"",1.11,1,1,1,0,0,1,19.089173,0.4895,1
123393046,123393046,"",7.022398744,"Tanlund Lake",0.71,3,-99,-99,-99,-99,-99,-99,0.2862,0
123393060,123393060,"",25.26609549,"Dunn Lake",1.23,1,1,1,0,0,0,0,0.6896,1
123393077,123393077,"",27.70583867,"Glitter Lake",1.68,1,2,3,1,10,1,12.314015,0.8685,1
123393089,123393089,"",5.631487655,"",0.66,1,2,5,0,0,2,300.094448,0.5113,1
123393108,123393108,"",10.00873578,"Glare Lake",0.92,1,2,2,0,0,2,40.019854,0.1037,1
123393114,123393114,"",8.988140547,"Moll Lake",0.98,3,-99,-99,-99,-99,-99,-99,0.1992,0
123393148,123393148,"",5.348893181,"",0.65,1,1,1,0,0,0,0,0.0438,1
123393168,123393168,"",17.90298492,"Pathic Lake",1.34,3,-99,-99,-99,-99,-99,-99,2.9487,0
123393219,123393219,"",23.14141371,"Jingle Lake",2.24,2,1,0,0,0,2,29.078593,0.8792,0
123393239,123393239,"",8.549121632,"",1.33,1,2,3,0,0,2,13373.74877,0.1913,1
123393242,123393242,"",13.31856153,"Doe Lake",2.07,3,-99,-99,-99,-99,-99,-99,0.4101,0
123393250,123393250,"",6.979919472,"Johnson Lake",0.72,3,-99,-99,-99,-99,-99,-99,0.884,0
123393299,123393299,"",11.17948269,"Millet Pond",1.51,3,-99,-99,-99,-99,-99,-99,0.3103,0
123393308,123393308,"",5.379771565,"",0.91,3,-99,-99,-99,-99,-99,-99,0.4035,0
123393310,123393310,"",12.26748508,"LaCrosse Lake",1.53,1,1,1,0,0,3,47.269288,0.193,1
123393319,123393319,"",18.19069501,"Gasley Lake",2.26,1,1,2,1,12,2,29.078593,0.5809,1
123393761,123393761,"",5.543118954,"Syrup Lake",0.58,3,-99,-99,-99,-99,-99,-99,0.108,0
123393789,123393789,"",10.30784617,"",1.05,1,1,1,0,0,2,300.094448,0.2914,1
123393815,123393815,"",9.627527536,"",1.27,2,1,0,0,0,0,0,0.6235,0
123393854,123393854,"",7.562569054,"",1.02,3,-99,-99,-99,-99,-99,-99,0.2982,0
123393857,123393857,"",5.695813662,"Behlow Lake",1.28,1,2,10,2,15,1,294.398634,0.2995,1
123393874,123393874,"",16.89755188,"Dog Lake",1.16,3,-99,-99,-99,-99,-99,-99,0.9225,0
123393919,123393919,"",16.82744408,"Camp Lake",1.54,3,-99,-99,-99,-99,-99,-99,0.6474,0
123393951,123393951,"",122.5883334,"",3.87,2,1,0,0,0,2,32.560505,2.6001,0
123394005,123394005,"",27.49304241,"Lewis Lake",1.45,1,2,6,5,151,0,0,0.447,1
123394010,123394010,"",5.425277991,"",0.72,3,-99,-99,-99,-99,-99,-99,0.6572,0
123394013,123394013,"",10.06286482,"",1.6,1,5,389,41,5324,1,294.398634,0.2899,1
123394022,123394022,"",36.64776586,"Papoose Lake",3.05,2,1,0,0,0,0,0,3.8665,0
123394039,123394039,"",10.99699993,"Balcomb Lake",1.23,3,-99,-99,-99,-99,-99,-99,0.4204,0
123394087,123394087,"",10.92049411,"",1.08,3,-99,-99,-99,-99,-99,-99,0.5999,0
123394095,123394095,"",5.091965851,"",0.81,1,4,17,0,0,1,294.398634,0.0421,1
123394118,123394118,"",14.71666035,"Sand Lake",1.01,3,-99,-99,-99,-99,-99,-99,0.1135,0
123394135,123394135,"",13079.35013,"Lake Gogebic",61.57,1,5,300,8,266,1,294.398634,29.6124,1
123394162,123394162,"",5.067462508,"",1.01,1,1,1,1,122,1,27.493042,0.3092,1
123394171,123394171,"",6.981153043,"Barclay Pond",0.71,3,-99,-99,-99,-99,-99,-99,0.3173,0
123394245,123394245,"",68.97476427,"Bela Lake",3.33,1,2,2,0,0,0,0,1.2833,1
123394248,123394248,"",2136.762365,"Bond Falls Flowage",40.84,1,5,389,40,3188,2,304.461499,11.8408,1
123394260,123394260,"",9.565555646,"Cottenham Lake",2.71,1,2,4,1,8,0,0,3.2066,1
123394263,123394263,"",5.932184529,"Hehe Lake",0.9,1,1,1,2,17,1,27.493042,0.1006,1
123394268,123394268,"",25.95921882,"McPherson Lake",1.89,3,-99,-99,-99,-99,-99,-99,0.8319,0
123394280,123394280,"",7.824174631,"Feeder Lake",0.79,3,-99,-99,-99,-99,-99,-99,1.485,0
123394288,123394288,"",10.08443311,"",1.12,1,3,24,1,7,1,294.398634,0.9537,1
123394299,123394299,"",7.557876788,"",1.18,1,1,1,0,0,2,304.483067,0.3567,1
123394302,123394302,"",11.27664099,"Rookery Lake",0.92,1,1,1,1,6,2,33.425227,0.1029,1
123394353,123394353,"",10.89023128,"Trap Lake",0.91,3,-99,-99,-99,-99,-99,-99,0.2149,0
123394364,123394364,"",11.37323562,"Clear Lake",0.85,3,-99,-99,-99,-99,-99,-99,0.2757,0
123394401,123394401,"",7.050016813,"Roost Lake",0.7,3,-99,-99,-99,-99,-99,-99,0.3268,0
123394426,123394426,"",8.787704417,"Locust Pond",2.28,3,-99,-99,-99,-99,-99,-99,0.2288,0
123394464,123394464,"",5.64300679,"Robbins Pond",0.71,1,1,1,0,0,1,294.398634,0.1777,1
