"nhdid","new_key"
"105232995","52-1457"
"105233479","7-369"
"105233471","7-490"
"110734177","7-622"
"110734165","7-621"
"110734267","7-376"
"110734261","52-1567"
"110734207","52-1563"
"110734235","7-359"
"110734197","52-1560"
"110734285","7-363"
"110734163","7-600"
"110734211","52-1558"
"110734251","7-370"
"110734217","7-361"
"110734255","7-375"
"110734179","7-619"
"110734195","7-362"
"110734167","52-1559"
"109943902","48-721"
"109943788","48-653"
"109943830","48-612"
"109943660","48-480"
"109943738","48-732"
"73026141","27-1139"
"109943596","48-470"
"109943924","48-443"
"109943524","48-437"
"109943906","48-715"
"109943694","48-608"
"109943678","48-728"
"123147474","27-1123"
"123147444","66-380"
"109943704","48-479"
"109943558","48-738"
"109943820","48-488"
"109943682","48-725"
"109943834","48-654"
"109943746","48-650"
"109943698","48-726"
"109944440","2-775"
"109943584","17-471"
"109943654","48-481"
"109943956","48-573"
"109943702","48-729"
"109943522","48-436"
"109943662","48-485"
"109943826","48-655"
"109943536","48-438"
"117626885","7-540"
"109943512","48-463"
"109943706","48-570"
"109943846","48-487"
"109943814","48-613"
"109943542","48-444"
"109943730","48-730"
"109943538","17-469"
"109943494","48-428"
"105233589","7-382"
"117626939","31-1274"
"117626721","7-428"
"123390585","31-540"
"123391116","66-425"
"105233377","52-1523"
"123390562","31-545"
"117626741","7-433"
"105233457","52-1843"
"105233521","52-1528"
"123394135","66-377"
"117626813","7-1105"
"105233229","52-1465"
"123391572","66-381"
"117626705","7-426"
"117627001","31-1273"
"117626825","7-443"
"117626999","31-1272"
"117627029","31-1265"
"117626805","7-439"
"117626819","7-1103"
"117626819","7-444"
"105233311","52-1453"
"105233605","7-427"
"105233367","52-1518"
"110734367","7-381"
"110734377","52-1590"
"110734399","7-387"
"110734343","52-1585"
"110734395","7-385"
"110734259","52-1573"
"110734461","7-400"
"110734355","52-1579"
"110734391","52-1587"
"110734301","52-1578"
"110734325","52-1546"
"110734465","7-389"
"110734365","52-1589"
"110734341","7-377"
"110734397","7-388"
"110734317","52-1577"
"110734311","52-1545"
"110734323","52-1588"
"110734339","52-1583"
"110734293","52-1543"
"110734273","52-1565"
"110734381","7-384"
"152512180","52-1360"
"152512179","52-1356"
"109944316","48-639"
"109944050","48-567"
"109943752","48-449"
"109944216","48-619"
"86670803","17-482"
"109944322","48-643"
"109944284","48-622"
"109944380","48-628"
"109944280","48-623"
"109943970","48-583"
"109944080","48-558"
"86670801","17-478"
"86670805","17-479"
"86670775","17-473"
"109944076","48-723"
"109944008","48-454"
"109944274","48-621"
"109944250","48-620"
"109944084","48-561"
"109944004","48-513"
"109944046","48-456"
"109944218","48-592"
"109944176","48-553"
"109944430","2-788"
"109944058","48-577"
"86670789","17-611"
"86670773","17-568"
"86670783","17-460"
"117627285","31-242"
"117627239","31-1271"
"105233557","52-1454"
"123390811","31-214"
"117627237","31-188"
"117627123","31-167"
"117626907","7-454"
"123391340","66-307"
"123391735","66-384"
"123391063","31-226"
"123391521","66-616"
"117626877","7-450"
"117627309","31-244"
"105233689","52-1263"
"123390859","31-195"
"123391049","31-228"
"117626893","7-453"
"123390876","31-1269"
